s58,455,"[]",.
s104,316,"[]",.
s179,361,"[]",ERROR
s179,361,"['Forward', 'Pick Up']",.
s179,361,"['Forward', 'Pick Up', 'Forward', 'Put Down']",.
s179,361,"['Forward', 'Pick Up', 'Forward', 'Put Down']",.
s179,361,"[]",.
s179,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s179,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Turn Right', 'Turn Right', 'Put Down', 'Turn Left', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",COMPLETED
s179,314,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s179,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Turn Left', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",COMPLETED
s179,315,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right']",.
s179,315,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right']",COMPLETED
s181,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s181,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s181,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s181,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s181,314,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s181,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s181,315,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right']",COMPLETED
s181,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Left']",.
s181,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Left']",.
s181,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Left']",.
s181,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s181,316,"['Forward', 'Forward']",ERROR
s181,316,"['Forward', 'Forward']",ERROR
s181,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s181,314,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s181,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s181,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s181,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s181,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s181,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
